file,line,method,path,operation_id,owner,baseline_sha
core/workforce/contracts/workforce.openapi.yaml,934,POST,/workforce/reference/shifts,createWorkforceShift,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.openapi.yaml,966,PATCH,/workforce/reference/shifts/{code},updateWorkforceShift,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.openapi.yaml,994,GET,/workforce/reference/supervisors,searchWorkforceSupervisors,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.operational-core.openapi.yaml,14,GET,/workforce/field-agents/{actorId}/operational-core,getFieldOperationalCore,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.operational-core.openapi.yaml,23,PATCH,/workforce/field-agents/{actorId}/operational-core,patchFieldOperationalCore,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.operational-core.openapi.yaml,40,GET,/workforce/captains/{actorId}/operational-core,getCaptainOperationalCore,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.operational-core.openapi.yaml,49,PATCH,/workforce/captains/{actorId}/operational-core,patchCaptainOperationalCore,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.operational-core.openapi.yaml,66,POST,/workforce/captains/{actorId}/classification/basic,promoteCaptainToBasic,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.operational-core.openapi.yaml,90,GET,/workforce/me/operational-core,getOwnProviderOperationalCore,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.operational-core.openapi.yaml,99,GET,/workforce/me/availability-notices,listOwnAvailabilityNotices,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.operational-core.openapi.yaml,121,POST,/workforce/me/availability-notices,createOwnAvailabilityNotice,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.operational-core.openapi.yaml,144,GET,/workforce/me/incidents,listOwnProviderIncidents,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.operational-core.openapi.yaml,159,POST,/workforce/me/incidents/{incidentId}/appeal,appealOwnProviderIncident,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.operational-core.openapi.yaml,179,GET,/workforce/provider-incidents,listProviderIncidentsForOperator,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.operational-core.openapi.yaml,196,POST,/workforce/provider-incidents,createProviderIncident,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.operational-core.openapi.yaml,214,PATCH,/workforce/provider-incidents/{incidentId}/status,transitionProviderIncident,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.operational-core.openapi.yaml,233,GET,/workforce/provider-incidents/{incidentId}/transitions,listProviderIncidentTransitions,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.reference-mutations.openapi.yaml,9,POST,/workforce/reference/cities,createWorkforceCity,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.reference-mutations.openapi.yaml,23,PATCH,/workforce/reference/cities/{code},updateWorkforceCity,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.reference-mutations.openapi.yaml,43,POST,/workforce/{collection}/{actorId}/documents,appendWorkforceProviderDocument,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.sovereign-leadership.openapi.yaml,17,GET,/workforce/sovereign-leadership/reference-data,getSovereignLeadershipReferenceData,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.sovereign-leadership.openapi.yaml,34,GET,/workforce/sovereign-leadership,listSovereignLeadership,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.sovereign-leadership.openapi.yaml,55,POST,/workforce/sovereign-leadership,createSovereignLeader,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.sovereign-leadership.openapi.yaml,87,GET,/workforce/department-employees,listDepartmentEmployees,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.sovereign-leadership.openapi.yaml,99,POST,/workforce/department-employees,createDepartmentEmployee,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.sovereign-leadership.openapi.yaml,125,GET,/workforce/department-employees/{actorId},getDepartmentEmployee,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.sovereign-leadership.openapi.yaml,141,PATCH,/workforce/department-employees/{actorId},updateDepartmentEmployee,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.sovereign-leadership.openapi.yaml,166,POST,/workforce/department-employees/{actorId}/suspend,suspendDepartmentEmployee,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.sovereign-leadership.openapi.yaml,191,POST,/workforce/department-employees/{actorId}/reactivate,reactivateDepartmentEmployee,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.sovereign-leadership.openapi.yaml,216,POST,/workforce/department-employees/{actorId}/activation-codes,issueDepartmentEmployeeActivation,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.sovereign-leadership.openapi.yaml,240,DELETE,/workforce/department-employees/{actorId}/activation-codes,revokeDepartmentEmployeeActivation,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.sovereign-leadership.openapi.yaml,253,GET,/workforce/employees/{actorId}/governance,getEmployeeGovernance,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.sovereign-leadership.openapi.yaml,272,PUT,/workforce/employees/{actorId}/governance,putEmployeeGovernance,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/contracts/dsh.administration.openapi.yaml,14,GET,/operator/admin/roles,listDshAdministrationRoles,dsh,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/contracts/dsh.administration.openapi.yaml,32,POST,/operator/admin/roles/requests,requestDshAdministrationRoleDefinition,dsh,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/contracts/dsh.administration.openapi.yaml,56,GET,/operator/admin/role-requests,listDshAdministrationRoleDefinitionRequests,dsh,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/contracts/dsh.administration.openapi.yaml,76,POST,/operator/admin/role-requests/{requestId}/review,reviewDshAdministrationRoleDefinitionRequest,dsh,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/contracts/dsh.administration.openapi.yaml,107,GET,/operator/admin/staff,listDshAdministrationStaff,dsh,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
