service,method,path,baseline_sha
DSH,GET,/dsh/field/finance/payout-destinations,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,DELETE,/dsh/field/finance/payout-destinations/{destinationId},f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,GET,/dsh/field/finance/payout-destinations/{destinationId},f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,GET,/dsh/field/finance/payouts,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,GET,/dsh/field/finance/wallet,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,GET,/dsh/field/me/finance/commissions,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,GET,/dsh/field/me/finance/ledger-entries,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,GET,/dsh/field/me/finance/payout-destination,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,PUT,/dsh/field/me/finance/payout-destination,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,POST,/dsh/field/me/finance/payout-destination/deactivate,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,GET,/dsh/field/me/finance/payout-requests,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,POST,/dsh/field/me/finance/payout-requests,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,GET,/dsh/field/me/finance/wallet,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,GET,/dsh/field/me/ratings/summary,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,POST,/dsh/field/media/uploads,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,GET,/dsh/field/partners,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,POST,/dsh/field/partners/drafts,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,GET,/dsh/field/partners/{partnerId},f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,PATCH,/dsh/field/partners/{partnerId},f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,GET,/dsh/field/partners/{partnerId}/assortment,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,GET,/dsh/field/partners/{partnerId}/assortment-pauses,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,POST,/dsh/field/partners/{partnerId}/assortment/{masterProductId}/pause,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,POST,/dsh/field/partners/{partnerId}/assortment/{masterProductId}/resume,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,GET,/dsh/field/partners/{partnerId}/catalog/product-proposals,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,POST,/dsh/field/partners/{partnerId}/catalog/product-proposals,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,PATCH,/dsh/field/partners/{partnerId}/catalog/product-proposals/{proposalId},f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,GET,/dsh/field/partners/{partnerId}/documents,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
